Msg_Received,Received_Time,Decoding_Time
1,547.1219,1.3432
2,547.4828,0.2722
3,549.587,0.1668
4,565.5115,0.1151
5,570.0018,0.1858
6,571.2004,0.0707
7,571.4394,0.0480
8,581.7404,0.0537
9,598.4204,0.2997
10,617.3256,0.1772
11,631.2336,0.1100
12,644.772,0.0428
13,661.0567,0.0595
14,677.4901,0.0745
15,677.5867,0.0439
16,693.3737,0.0507
17,693.4277,0.0243
18,709.7841,0.0477
19,725.7519,0.1251
20,741.81,0.0547
21,757.7676,0.0711
22,757.862,0.0384
23,774.6487,0.0710
24,774.7388,0.0379
25,789.7104,0.0700
26,805.6528,0.0707
27,822.1078,0.1267
28,838.3507,0.0932
29,854.4713,0.0818
30,854.5674,0.0395
31,870.4304,0.0409
32,870.4822,0.0160
33,886.456,0.0461
34,886.504,0.0185
35,902.651,0.0617
36,902.703,0.0189
37,919.3128,0.0416
38,919.3613,0.0158
39,934.7263,0.0334
40,951.783,0.1429
41,952.028,0.1437
42,967.5261,0.1393
43,983.7008,0.2332
44,999.1256,0.0724
45,1015.1448,0.0521
46,1030.8939,0.0395
47,1047.1187,0.0429
48,1063.0145,0.0487
49,1078.3449,0.0433
50,1094.7533,0.0509
51,1111.3744,0.0446
52,1111.9489,0.0225
53,1127.5111,0.0389
54,1143.1127,0.0417
55,1158.8686,0.0519
56,1174.6568,0.0396
57,1190.6143,0.0408
58,1206.6373,0.0428
59,1223.9756,0.1288
60,1239.9141,0.1255
61,1240.0873,0.0721
62,1256.1978,0.1356
63,1271.7755,0.0644
64,1287.9509,0.0367
65,1287.9981,0.0144
66,1288.318,0.0293
67,1303.4553,0.0420
68,1303.5,0.0150
69,1319.7209,0.0420
70,1319.7671,0.0161
71,1335.6796,0.0526
72,1335.7754,0.0581
73,1352.4564,0.0840
74,1368.8171,0.0905
75,1368.9422,0.0483
76,1384.5899,0.1131
77,1401.3434,0.1132
78,1416.8675,0.1114
79,1433.4866,0.1307
80,1449.492,0.0987
81,1465.7219,0.0700
82,1465.8125,0.0346
83,1481.4442,0.0482
84,1481.5011,0.0204
85,1497.6522,0.0428
86,1513.7171,0.1081
87,1529.9093,0.0695
88,1546.1018,0.0577
89,1561.9201,0.0606
90,1577.9424,0.1271
91,1593.685,0.0750
92,1609.658,0.0668
93,1609.7443,0.0339
94,1626.0308,0.0620
95,1642.0878,0.0709
96,1657.9147,0.0379
97,1673.9748,0.0431
98,1675.6029,0.0191
99,1691.1741,0.1205
100,1691.3437,0.0674
101,1706.1066,0.1219
102,1722.4244,0.0386
103,1738.854,0.1099
104,1754.4755,0.0409
105,1770.8091,0.0296
106,1786.7861,0.1155
107,1802.5247,0.0369
108,1818.9896,0.0410
109,1835.0971,0.0350
110,1835.3105,0.0250
111,1851.4324,0.0434
112,1852.3628,0.0241
113,1867.673,0.0462
114,1867.7167,0.0137
115,1884.5598,0.0474
116,1900.2073,0.0487
117,1916.7247,0.0420
118,1932.9019,0.0466
119,1949.1094,0.0431
120,1965.2405,0.0259
121,1965.398,0.0213
122,1980.9526,0.0251
123,1997.3073,0.0417
124,2013.0875,0.0603
125,2028.918,0.0384
126,2044.7304,0.0391
127,2061.299,0.0338
128,2061.4154,0.0197
129,2077.3716,0.0662
130,2077.4758,0.0444
131,2093.5962,0.0508
132,2110.4135,0.0380
133,2125.962,0.0402
134,2142.2719,0.0491
135,2159.3852,0.0844
136,2174.3724,0.1116
137,2191.2642,0.1208
138,2191.457,0.0715
139,2207.6351,0.1137
140,2223.5139,0.1108
141,2224.0717,0.1234
142,2239.1975,0.1098
143,2239.3529,0.0607
144,2255.0745,0.1109
145,2270.2231,0.1085
146,2285.7951,0.0433
147,2301.6451,0.0411
148,2301.7097,0.0177
149,2317.4307,0.0435
150,2334.059,0.0544
151,2349.7197,0.0671
152,2365.4081,0.0778
153,2381.0693,0.0790
154,2397.7201,0.0801
155,2397.8674,0.0806
156,2413.347,0.0790
157,2429.9737,0.0890
158,2445.7222,0.1096
159,2447.453,0.0589
160,2447.5545,0.0424
161,2462.0218,0.0783
162,2478.2959,0.0788
163,2493.7642,0.0787
164,2493.8726,0.0419
165,2509.7621,0.0750
166,2509.869,0.0411
167,2525.6294,0.0982
168,2525.7525,0.0426
169,2541.758,0.0776
170,2557.8294,0.0865
