Msg_Received,Received_Time,Decoding_Time
1,102.419857,10.0079
2,102.708771,0.1762
3,102.859478,0.1154
4,102.940782,0.0555
5,103.059687,0.0986
6,103.12199,0.0405
7,103.180493,0.0407
8,103.379902,0.1823
9,103.56301,0.0983
10,103.698817,0.0586
11,104.011931,0.0593
12,105.424097,0.0540
13,105.4879,0.0386
14,106.602752,0.0469
15,108.267229,0.0453
16,108.325532,0.0381
17,109.777999,0.0478
18,111.105961,0.0461
19,111.165164,0.0383
20,112.469924,0.0436
21,113.820587,0.0438
22,115.379659,0.0485
23,116.877929,0.0469
24,118.358698,0.0507
25,119.819466,0.0923
26,121.556646,0.0912
27,121.62855,0.0276
28,123.536738,0.0351
29,123.588741,0.0185
30,125.061409,0.0368
31,126.490876,0.0831
32,128.235057,0.0335
33,129.550718,0.0320
34,131.221695,0.0477
35,131.276898,0.0172
36,132.81867,0.0288
37,132.860571,0.0152
38,134.577251,0.0227
39,135.965116,0.0235
40,137.13097,0.0277
41,138.760646,0.0688
42,140.118709,0.0208
43,141.501873,0.0643
44,142.855336,0.0558
45,144.252601,0.0186
46,144.289102,0.0099
47,145.586163,0.0148
48,147.066131,0.0206
49,147.101333,0.0105
50,148.821413,0.0375
51,150.407487,0.0255
52,152.120666,0.0199
53,153.570033,0.0206
54,154.981299,0.0152
55,156.259058,0.0144
56,157.859833,0.0136
57,159.51511,0.0142
58,160.988578,0.0145
59,162.440746,0.0151
60,163.816809,0.0140
61,164.883759,0.0137
62,166.63124,0.0142
63,168.032105,0.0144
64,169.42587,0.0165
65,170.92614,0.0174
66,172.579317,0.0166
67,173.805073,0.0162
68,175.167237,0.0157
69,176.613904,0.0168
70,178.02757,0.0166
71,179.363332,0.0142
72,180.647691,0.0139
73,182.098259,0.0159
74,182.13036,0.0105
75,183.41642,0.0153
76,184.728681,0.0154
77,186.101945,0.0137
78,187.382604,0.0138
79,188.732567,0.0132
80,190.292839,0.0158
81,191.762608,0.0135
82,193.082069,0.0166
83,194.562238,0.0177
84,195.785495,0.0135
85,197.066854,0.0129
86,198.359614,0.0177
87,199.811682,0.0191
88,200.939234,0.0163
89,202.043885,0.0148
90,203.288843,0.0150
91,204.854816,0.0143
92,205.678554,0.0144
93,205.706855,0.0095
94,207.029617,0.0133
95,208.248873,0.0153
96,209.46523,0.0160
97,209.495431,0.0102
98,210.998601,0.0142
99,212.163955,0.0163
100,213.421714,0.0149
101,214.603169,0.0178
102,215.781123,0.0145
103,217.143787,0.0161
104,218.342042,0.0160
105,219.416392,0.0155
106,220.647549,0.0152
107,221.848305,0.0157
108,223.121364,0.0153
109,224.423925,0.0277
110,225.60388,0.0145
111,226.810536,0.0139
112,228.136197,0.0142
113,229.27465,0.0150
114,230.528408,0.0150
115,230.55601,0.0092
116,231.751965,0.0131
117,233.035225,0.0132
118,234.159677,0.0134
119,235.613145,0.0154
120,236.827301,0.0138
121,238.145762,0.0156
122,239.633131,0.0140
123,241.024396,0.0139
124,241.051397,0.0089
125,242.573868,0.0133
126,243.877329,0.0133
127,245.189289,0.0176
128,246.70746,0.0588
129,248.014121,0.0126
130,249.313681,0.0103
131,250.57614,0.0100
132,251.888401,0.0130
133,253.276665,0.0562
134,254.415818,0.0132
135,255.664876,0.0129
136,256.968837,0.0127
137,257.878079,0.0144
138,259.163939,0.0137
139,260.27219,0.0161
140,261.660355,0.0138
141,262.908913,0.0129
142,264.183572,0.0123
143,265.380327,0.0127
144,266.794293,0.0126
145,268.163157,0.0126
146,269.463817,0.0126
147,270.899484,0.0126
148,272.041037,0.0125
149,273.305096,0.0125
150,274.48435,0.0125
151,275.787811,0.0139
152,276.974866,0.0128
153,278.187622,0.0125
154,278.212924,0.0080
155,279.587987,0.0124
156,280.883348,0.0126
157,282.292513,0.0128
158,283.492369,0.0125
159,284.871833,0.0127
160,284.898234,0.0082
161,286.810223,0.0127
162,288.070881,0.0123
163,289.262537,0.0129
164,290.498294,0.0178
165,291.951062,0.0232
166,293.245022,0.0173
167,294.49288,0.0136
168,294.519181,0.0080
169,295.689735,0.0131
170,297.220407,0.0159
171,298.622172,0.0962
172,299.795126,0.0123
173,300.968281,0.0114
174,302.24194,0.0113
175,303.467897,0.0113
176,304.699254,0.0112
177,305.90861,0.0174
178,305.948412,0.0123
179,307.313875,0.0115
180,308.575134,0.0113
181,309.943398,0.0112
182,311.147653,0.0114
183,312.418212,0.0111
184,312.442914,0.0067
185,313.847279,0.0111
186,315.077536,0.0112
187,316.530304,0.0114
188,317.630955,0.0114
189,318.894313,0.0113
190,320.029266,0.0113
191,320.053867,0.0067
192,321.320926,0.0117
193,322.523682,0.0112
194,323.711837,0.0115
195,324.991697,0.0118
196,326.404962,0.0111
197,327.599418,0.0113
198,328.838275,0.0111
199,330.141536,0.0113
200,331.347492,0.0154
201,332.635852,0.0557
202,333.729502,0.0112
203,335.056064,0.0109
204,336.333723,0.0111
205,336.357725,0.0065
206,337.657785,0.0110
207,338.85004,0.0110
208,340.049896,0.0110
209,341.295754,0.0110
210,342.478209,0.0111
211,343.834772,0.0111
212,343.858773,0.0066
213,345.003126,0.0110
214,346.203282,0.0109
215,347.439939,0.0110
216,348.683697,0.0110
217,350.158566,0.0109
218,351.33152,0.0110
219,352.384669,0.0114
220,353.69073,0.0121
221,354.903186,0.0121
222,356.112942,0.0109
223,357.291597,0.0109
224,358.553656,0.0111
225,359.766612,0.0114
226,360.940967,0.0109
227,362.220926,0.0133
228,363.495185,0.0555
229,364.649139,0.0107
230,365.878396,0.0099
231,367.091952,0.0099
232,368.319609,0.0101
233,369.659772,0.0107
234,369.684073,0.0060
235,370.846827,0.0101
236,371.99658,0.0101
237,373.222837,0.0105
238,373.246238,0.0057
239,374.5758,0.0099
240,375.796057,0.0099
241,377.015113,0.0098
242,378.368476,0.0099
243,379.610934,0.0099
244,380.990998,0.0099
245,382.201554,0.0099
246,383.541216,0.0100
247,385.040486,0.0109
248,386.233441,0.0178
249,387.453198,0.0140
250,388.77526,0.0098
251,390.08752,0.0100
252,391.495686,0.0103
253,392.794446,0.0145
254,394.225013,0.0108
255,394.480925,0.0125
256,396.007295,0.1133
257,397.367359,0.0120
258,398.408507,0.0127
259,399.886876,0.0092
260,401.300641,0.0086
261,402.600602,0.0089
262,403.743355,0.0125
