PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,450.0025,0.4551,1280,2.22
2,452.7551,0.0603,1280,4.42
3,452.9626,0.0247,1280,6.62
4,465.2812,0.0920,1280,8.60
5,467.352,0.1448,1280,10.70
6,468.8129,0.0371,1280,12.80
7,468.9796,0.0251,1280,14.93
8,481.3138,0.1004,1280,16.62
9,482.3196,0.2898,1280,18.66
10,497.566,0.2030,1280,20.10
11,498.2146,0.0506,1280,22.08
12,513.2696,0.0652,1280,23.38
13,529.2128,0.1031,1280,24.56
14,545.3269,0.0571,1280,25.67
15,561.2765,0.0597,1280,26.72
16,577.5065,0.0867,1280,27.71
17,593.9019,0.1229,1280,28.62
18,609.8602,0.0992,1280,29.51
19,625.7483,0.1194,1280,30.36
20,626.1983,0.0344,1280,31.94
21,642.2142,0.1050,1280,32.70
22,658.2419,0.1081,1280,33.42
23,674.2069,0.0968,1280,34.11
24,690.5248,0.1087,1280,34.76
25,690.9303,0.0372,1280,36.18
26,706.4567,0.1092,1280,36.80
27,722.6944,0.1494,1280,37.36
28,723.0771,0.0366,1280,38.72
29,738.6836,0.1039,1280,39.26
30,739.0707,0.0318,1280,40.59
31,755.0164,0.1079,1280,41.06
32,770.9851,0.1078,1280,41.51
33,787.1738,0.0927,1280,41.92
34,803.0208,0.0894,1280,42.34
35,819.2709,0.1156,1280,42.72
36,835.1892,0.1111,1280,43.10
37,851.7187,0.1130,1280,43.44
38,852.1529,0.0412,1280,44.59
39,867.7193,0.0932,1280,44.95
40,868.0929,0.0367,1280,46.08
41,883.6249,0.1062,1280,46.40
42,884.0244,0.0349,1280,47.51
43,899.5841,0.0918,1280,47.80
44,899.9256,0.0321,1280,48.89
45,915.4266,0.0984,1280,49.16
46,931.9633,0.0980,1280,49.36
47,947.846,0.0992,1280,49.59
48,963.9355,0.1158,1280,49.80
49,980.3175,0.1191,1280,49.98
50,996.547,0.0992,1280,50.17
51,997.0241,0.0451,1280,51.15
52,1012.6345,0.1698,1280,51.35
53,1013.0725,0.0438,1280,52.32
54,1028.3902,0.0995,1280,52.51
55,1044.449,0.0896,1280,52.66
56,1060.3365,0.0933,1280,52.81
57,1076.5801,0.1087,1280,52.95
58,1076.9995,0.0436,1280,53.85
59,1092.3906,0.0924,1280,54.01
60,1108.4689,0.1128,1280,54.13
61,1108.9021,0.0491,1280,55.01
62,1124.7146,0.1447,1280,55.13
63,1125.1123,0.0360,1280,55.99
64,1140.6183,0.1137,1280,56.11
65,1141.0341,0.0401,1280,56.97
66,1157.1192,0.1237,1280,57.04
67,1173.0723,0.0930,1280,57.11
68,1189.29,0.1666,1280,57.18
69,1205.3635,0.1110,1280,57.24
70,1221.6062,0.1176,1280,57.30
71,1222.1088,0.0502,1280,58.10
72,1237.6127,0.1063,1280,58.18
73,1238.0379,0.0403,1280,58.96
74,1253.6186,0.0982,1280,59.03
75,1253.9914,0.0366,1280,59.81
76,1269.4141,0.0873,1280,59.87
77,1285.5203,0.1283,1280,59.90
78,1301.6402,0.0866,1280,59.92
79,1301.979,0.0316,1280,60.68
80,1318.1167,0.1033,1280,60.69
81,1334.4417,0.1175,1280,60.70
82,1350.5666,0.1016,1280,60.72
83,1350.9563,0.0339,1280,61.44
84,1366.6549,0.1063,1280,61.46
85,1367.042,0.0310,1280,62.18
86,1382.8134,0.1085,1280,62.19
87,1383.2052,0.0344,1280,62.90
88,1398.7843,0.1048,1280,62.91
89,1399.124,0.0324,1280,63.61
90,1415.1522,0.1022,1280,63.60
