PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,450.8181,0.4011,1280,2.22
2,452.8127,0.0376,1280,4.42
3,465.7764,0.0485,1280,6.44
4,480.2442,0.0904,1280,8.33
5,481.5263,0.1190,1280,10.38
6,482.4609,0.0515,1280,12.44
7,497.2557,0.0935,1280,14.08
8,497.8737,0.0537,1280,16.07
9,513.9515,0.3692,1280,17.51
10,529.7418,0.1622,1280,18.88
11,545.4285,0.0648,1280,20.17
12,545.8734,0.0370,1280,21.98
13,561.6815,0.1144,1280,23.14
14,562.0735,0.0351,1280,24.91
15,577.5607,0.1390,1280,25.97
16,577.9423,0.0334,1280,27.68
17,593.6114,0.1034,1280,28.64
18,593.9988,0.0322,1280,30.30
19,609.3181,0.0968,1280,31.18
20,625.9613,0.1108,1280,31.95
21,641.7896,0.1109,1280,32.72
22,658.445,0.1280,1280,33.41
23,658.9368,0.0421,1280,34.90
24,674.1494,0.0950,1280,35.60
25,690.1652,0.1131,1280,36.22
26,705.9231,0.0916,1280,36.83
27,722.477,0.1033,1280,37.37
28,722.8608,0.0304,1280,38.73
29,738.2531,0.1005,1280,39.28
30,754.5802,0.1084,1280,39.76
31,754.989,0.0354,1280,41.06
32,770.741,0.1006,1280,41.52
33,771.1711,0.0388,1280,42.79
34,786.8568,0.1152,1280,43.21
35,803.152,0.1097,1280,43.58
36,819.468,0.1043,1280,43.93
37,819.9311,0.0423,1280,45.13
38,835.563,0.0981,1280,45.48
39,835.9542,0.0362,1280,46.65
40,851.9184,0.1280,1280,46.95
41,867.7698,0.1147,1280,47.25
42,883.9136,0.1436,1280,47.52
43,900.1134,0.1001,1280,47.77
44,915.8205,0.1140,1280,48.04
45,931.8103,0.0891,1280,48.29
46,948.2431,0.1144,1280,48.51
47,964.6378,0.1109,1280,48.72
48,965.0638,0.0401,1280,49.74
49,980.5877,0.1496,1280,49.97
50,980.9757,0.0372,1280,50.97
51,997.0364,0.1300,1280,51.15
52,1012.4668,0.0505,1280,51.36
53,1028.7629,0.1215,1280,51.52
