Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,1,1,1,29,1,1367145952,-30001141,-55016076,0
1,3,1,1,29,1,1367147145,-30001141,-55016076,0
1,1,1,1,29,1,1367155496,-30001143,-55016076,0
1,1,1,1,29,1,1367157882,-30001143,-55016078,0
1,1,1,1,29,1,1367158479,-30001143,-55016076,0
1,1,1,1,29,1,1367159075,-30001143,-55016076,0
1,3,1,1,29,1,1367165041,-30001143,-55016078,0
1,1,1,1,29,1,1367174585,-30001141,-55016078,0
1,3,1,1,29,1,1367184726,-30001143,-55016078,0
1,4,1,1,29,1,1367185322,-30001143,-55016078,0
1,1,1,1,29,1,1367195463,-30001143,-55016076,0
1,1,1,1,29,1,1367202622,-30001143,-55016076,0
1,4,1,1,29,1,1367203218,-30001143,-55016078,0
1,4,1,1,29,1,1367212166,-30001143,-55016076,0
1,2,1,1,29,1,1367212763,-30001141,-55016076,0
1,1,1,1,29,1,1367221710,-30001143,-55016076,0
1,4,1,1,29,1,1367222307,-30001141,-55016078,0
1,4,1,1,29,1,1367231255,-30001141,-55016076,0
1,2,1,1,29,1,1367231851,-30001143,-55016076,0
1,1,1,1,29,1,1367240799,-30001141,-55016076,0
1,1,1,1,29,1,1367250344,-30001143,-55016078,0
1,3,1,1,29,1,1367250940,-30001141,-55016076,0
1,2,1,1,29,1,1367259888,-30001141,-55016078,0
1,4,1,1,29,1,1367260484,-30001143,-55016078,0
1,3,1,1,29,1,1367269432,-30001141,-55016078,0
1,1,1,1,29,1,1367270029,-30001143,-55016078,0
1,4,1,1,29,1,1367278977,-30001143,-55016078,0
1,4,1,1,29,1,1367279573,-30001141,-55016078,0
1,1,1,1,29,1,1367289118,-30001143,-55016076,0
1,3,1,1,29,1,1367298662,-30001141,-55016078,0
1,4,1,1,29,1,1367308206,-30001141,-55016078,0
1,4,1,1,29,1,1367317751,-30001143,-55016078,0
1,2,1,1,29,1,1367326698,-30001143,-55016078,0
1,3,1,1,29,1,1367336839,-30001143,-55016078,0
1,2,1,1,29,1,1367346384,-30001143,-55016076,0
1,1,1,1,29,1,1367355928,-30001143,-55016076,0
1,1,1,1,29,1,1367365472,-30001143,-55016078,0
1,3,1,1,29,1,1367375017,-30001143,-55016078,0
1,1,1,1,29,1,1367384561,-30001143,-55016076,0
1,2,1,1,29,1,1367385158,-30001143,-55016078,0
1,4,1,1,29,1,1367394106,-30001141,-55016078,0
1,2,1,1,29,1,1367404246,-30001141,-55016078,0
1,3,1,1,29,1,1367413194,-30001143,-55016076,0
1,3,1,1,29,1,1367422739,-30001143,-55016078,0
1,4,1,1,29,1,1367423335,-30001143,-55016078,0
1,4,1,1,29,1,1367432880,-30001143,-55016078,0
1,4,1,1,29,1,1367442424,-30001143,-55016076,0
1,4,1,1,29,1,1367452565,-30001141,-55016076,0
1,1,1,1,29,1,1367453161,-30001141,-55016078,0
1,3,1,1,29,1,1367463899,-30001143,-55016076,0
1,2,1,1,29,1,1367470461,-30001143,-55016076,0
1,3,1,1,29,1,1367473443,-30001141,-55016076,0
1,1,1,1,29,1,1367480005,-30001141,-55016078,0
1,4,1,1,29,1,1367489549,-30001141,-55016076,0
1,3,1,1,29,1,1367499094,-30001143,-55016078,0
1,2,1,1,29,1,1367499690,-30001143,-55016076,0
1,4,1,1,29,1,1367508638,-30001143,-55016076,0
