Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,3,1,1,29,1,1507211994,-30001141,-55016076,0
1,1,1,1,29,1,1507213187,-30001141,-55016076,0
1,2,1,1,29,1,1507215573,-30001141,-55016078,0
1,2,1,1,29,1,1507224521,-30001141,-55016078,0
1,2,1,1,29,1,1507231082,-30001143,-55016078,0
1,1,1,1,29,1,1507232275,-30001143,-55016076,0
1,2,1,1,29,1,1507234065,-30001143,-55016076,0
1,3,1,1,29,1,1507243609,-30001141,-55016076,0
1,3,1,1,29,1,1507244206,-30001143,-55016078,0
1,4,1,1,29,1,1507253154,-30001141,-55016078,0
1,4,1,1,29,1,1507262698,-30001141,-55016076,0
1,4,1,1,29,1,1507272243,-30001141,-55016078,0
1,2,1,1,29,1,1507281787,-30001143,-55016076,0
1,4,1,1,29,1,1507291928,-30001141,-55016076,0
1,2,1,1,29,1,1507301472,-30001141,-55016078,0
1,4,1,1,29,1,1507301472,-30001141,-55016076,0
1,3,1,1,29,1,1507311017,-30001141,-55016078,0
1,4,1,1,29,1,1507311017,-30001141,-55016078,0
1,1,1,1,29,1,1507320561,-30001143,-55016076,0
1,4,1,1,29,1,1507320561,-30001143,-55016078,0
1,1,1,1,29,1,1507330105,-30001143,-55016078,0
1,1,1,1,29,1,1507330105,-30001141,-55016078,0
1,3,1,1,29,1,1507339650,-30001141,-55016076,0
1,4,1,1,29,1,1507339650,-30001143,-55016076,0
1,2,1,1,29,1,1507349194,-30001141,-55016076,0
1,2,1,1,29,1,1507358738,-30001141,-55016078,0
1,3,1,1,29,1,1507368283,-30001141,-55016076,0
1,1,1,1,29,1,1507377827,-30001143,-55016076,0
1,2,1,1,29,1,1507387968,-30001141,-55016076,0
1,3,1,1,29,1,1507396916,-30001141,-55016078,0
1,3,1,1,29,1,1507407057,-30001143,-55016076,0
1,3,1,1,29,1,1507417198,-30001143,-55016078,0
1,3,1,1,29,1,1507424952,-30001141,-55016076,0
1,2,1,1,29,1,1507434497,-30001141,-55016076,0
1,3,1,1,29,1,1507444041,-30001143,-55016078,0
1,2,1,1,29,1,1507453586,-30001141,-55016078,0
1,4,1,1,29,1,1507463130,-30001143,-55016078,0
1,4,1,1,29,1,1507472674,-30001143,-55016078,0
1,4,1,1,29,1,1507482219,-30001143,-55016076,0
1,2,1,1,29,1,1507482219,-30001143,-55016076,0
1,3,1,1,29,1,1507491763,-30001141,-55016078,0
1,1,1,1,29,1,1507501307,-30001143,-55016078,0
1,2,1,1,29,1,1507510852,-30001141,-55016076,0
1,2,1,1,29,1,1507520396,-30001141,-55016076,0
1,3,1,1,29,1,1507529941,-30001141,-55016078,0
1,4,1,1,29,1,1507539485,-30001143,-55016076,0
1,1,1,1,29,1,1507549029,-30001141,-55016078,0
1,2,1,1,29,1,1507558574,-30001141,-55016076,0
1,3,1,1,29,1,1507558574,-30001143,-55016076,0
1,2,1,1,29,1,1507568118,-30001141,-55016078,0
1,4,1,1,29,1,1507568715,-30001141,-55016076,0
1,2,1,1,29,1,1507578259,-30001143,-55016078,0
1,3,1,1,29,1,1507578259,-30001143,-55016076,0
1,2,1,1,29,1,1507587207,-30001143,-55016078,0
1,4,1,1,29,1,1507587803,-30001143,-55016078,0
1,3,1,1,29,1,1507597348,-30001143,-55016076,0
1,4,1,1,29,1,1507606892,-30001141,-55016078,0
1,4,1,1,29,1,1507606892,-30001143,-55016076,0
1,4,1,1,29,1,1507616436,-30001141,-55016078,0
1,4,1,1,29,1,1507616436,-30001141,-55016078,0
1,3,1,1,29,1,1507625981,-30001141,-55016076,0
1,1,1,1,29,1,1507635525,-30001141,-55016076,0
1,1,1,1,29,1,1507635525,-30001143,-55016076,0
1,4,1,1,29,1,1507645070,-30001143,-55016076,0
1,1,1,1,29,1,1507654614,-30001141,-55016078,0
1,2,1,1,29,1,1507664158,-30001143,-55016076,0
1,1,1,1,29,1,1507674299,-30001143,-55016076,0
1,1,1,1,29,1,1507674299,-30001143,-55016078,0
1,1,1,1,29,1,1507683844,-30001141,-55016078,0
1,4,1,1,29,1,1507683844,-30001141,-55016076,0
1,4,1,1,29,1,1507693388,-30001141,-55016076,0
1,3,1,1,29,1,1507705915,-30001141,-55016076,0
1,2,1,1,29,1,1507713073,-30001141,-55016078,0
1,2,1,1,29,1,1507713073,-30001141,-55016078,0
1,4,1,1,29,1,1507722021,-30001143,-55016076,0
1,2,1,1,29,1,1507731565,-30001143,-55016076,0
1,2,1,1,29,1,1507741706,-30001143,-55016076,0
1,4,1,1,29,1,1507741706,-30001143,-55016078,0
1,2,1,1,29,1,1507751251,-30001143,-55016078,0
1,3,1,1,29,1,1507751251,-30001143,-55016076,0
1,1,1,1,29,1,1507760795,-30001143,-55016078,0
1,2,1,1,29,1,1507770339,-30001143,-55016076,0
1,2,1,1,29,1,1507779884,-30001143,-55016076,0
1,4,1,1,29,1,1507789428,-30001143,-55016076,0
1,1,1,1,29,1,1507799569,-30001141,-55016076,0
1,4,1,1,29,1,1507799569,-30001143,-55016078,0
1,3,1,1,29,1,1507808517,-30001143,-55016078,0
1,4,1,1,29,1,1507818061,-30001143,-55016078,0
1,3,1,1,29,1,1507828202,-30001141,-55016076,0
1,4,1,1,29,1,1507828202,-30001141,-55016076,0
1,4,1,1,29,1,1507837747,-30001143,-55016076,0
1,1,1,1,29,1,1507847291,-30001141,-55016078,0
1,1,1,1,29,1,1507856835,-30001143,-55016078,0
1,1,1,1,29,1,1507866976,-30001141,-55016078,0
1,4,1,1,29,1,1507866976,-30001143,-55016076,0
1,2,1,1,29,1,1507876521,-30001143,-55016076,0
1,2,1,1,29,1,1507877714,-30001141,-55016076,0
1,2,1,1,29,1,1507886065,-30001143,-55016076,0
1,4,1,1,29,1,1507895609,-30001143,-55016076,0
1,1,1,1,29,1,1507905154,-30001141,-55016076,0
1,4,1,1,29,1,1507914698,-30001143,-55016076,0
1,3,1,1,29,1,1507924839,-30001141,-55016076,0
1,4,1,1,29,1,1507924839,-30001143,-55016076,0
1,4,1,1,29,1,1507934383,-30001141,-55016078,0
1,4,1,1,29,1,1507943928,-30001143,-55016076,0
1,4,1,1,29,1,1507954069,-30001141,-55016076,0
1,4,1,1,29,1,1507954069,-30001141,-55016078,0
1,3,1,1,29,1,1507963016,-30001143,-55016076,0
1,4,1,1,29,1,1507972561,-30001143,-55016076,0
1,3,1,1,29,1,1507982105,-30001143,-55016078,0
1,3,1,1,29,1,1507982702,-30001141,-55016078,0
1,2,1,1,29,1,1507992246,-30001141,-55016078,0
1,1,1,1,29,1,1507992246,-30001141,-55016078,0
1,2,1,1,29,1,1508001790,-30001143,-55016078,0
1,3,1,1,29,1,1508011335,-30001141,-55016076,0
1,2,1,1,29,1,1508011335,-30001143,-55016076,0
1,1,1,1,29,1,1508020879,-30001143,-55016076,0
1,3,1,1,29,1,1508030424,-30001141,-55016078,0
1,1,1,1,29,1,1508039968,-30001143,-55016078,0
1,1,1,1,29,1,1508049512,-30001141,-55016076,0
1,3,1,1,29,1,1508049512,-30001141,-55016078,0
1,4,1,1,29,1,1508059057,-30001143,-55016078,0
1,2,1,1,29,1,1508068601,-30001143,-55016076,0
1,3,1,1,29,1,1508068601,-30001143,-55016076,0
1,3,1,1,29,1,1508077549,-30001141,-55016076,0
