Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,3,1,1,29,1,1324275617,-30001141,-55016076,0
1,3,1,1,29,1,1324278003,-30001141,-55016078,0
1,4,1,1,29,1,1324285161,-30001141,-55016078,0
1,1,1,1,29,1,1324294705,-30001143,-55016076,0
1,4,1,1,29,1,1324303057,-30001143,-55016076,0
1,2,1,1,29,1,1324303653,-30001143,-55016078,0
1,2,1,1,29,1,1324304846,-30001143,-55016078,0
1,3,1,1,29,1,1324313198,-30001143,-55016076,0
1,2,1,1,29,1,1324322742,-30001143,-55016078,0
1,2,1,1,29,1,1324323338,-30001143,-55016076,0
1,2,1,1,29,1,1324332883,-30001141,-55016078,0
1,1,1,1,29,1,1324332883,-30001141,-55016076,0
1,3,1,1,29,1,1324342427,-30001141,-55016076,0
1,2,1,1,29,1,1324351972,-30001143,-55016078,0
1,1,1,1,29,1,1324361516,-30001143,-55016076,0
1,2,1,1,29,1,1324362112,-30001141,-55016076,0
1,2,1,1,29,1,1324371060,-30001141,-55016078,0
1,2,1,1,29,1,1324380605,-30001143,-55016078,0
1,1,1,1,29,1,1324390149,-30001141,-55016078,0
1,2,1,1,29,1,1324390746,-30001143,-55016078,0
1,1,1,1,29,1,1324399693,-30001141,-55016076,0
1,2,1,1,29,1,1324409238,-30001141,-55016076,0
1,1,1,1,29,1,1324409834,-30001141,-55016078,0
1,1,1,1,29,1,1324418782,-30001141,-55016078,0
1,4,1,1,29,1,1324428327,-30001143,-55016078,0
1,1,1,1,29,1,1324428923,-30001143,-55016078,0
1,2,1,1,29,1,1324438467,-30001143,-55016078,0
1,2,1,1,29,1,1324448012,-30001141,-55016076,0
1,1,1,1,29,1,1324457556,-30001141,-55016076,0
1,4,1,1,29,1,1324467101,-30001141,-55016078,0
1,4,1,1,29,1,1324476645,-30001143,-55016076,0
1,3,1,1,29,1,1324486189,-30001141,-55016078,0
1,3,1,1,29,1,1324486786,-30001143,-55016078,0
1,1,1,1,29,1,1324496330,-30001141,-55016078,0
1,3,1,1,29,1,1324505875,-30001143,-55016078,0
1,3,1,1,29,1,1324515419,-30001141,-55016076,0
1,4,1,1,29,1,1324516015,-30001143,-55016076,0
1,3,1,1,29,1,1324524963,-30001143,-55016078,0
1,3,1,1,29,1,1324525560,-30001141,-55016078,0
1,3,1,1,29,1,1324534508,-30001143,-55016076,0
1,2,1,1,29,1,1324544052,-30001143,-55016076,0
1,3,1,1,29,1,1324554193,-30001143,-55016076,0
1,3,1,1,29,1,1324554193,-30001143,-55016078,0
1,4,1,1,29,1,1324563737,-30001141,-55016078,0
1,3,1,1,29,1,1324573282,-30001141,-55016078,0
1,2,1,1,29,1,1324582826,-30001141,-55016076,0
1,1,1,1,29,1,1324584019,-30001143,-55016076,0
1,3,1,1,29,1,1324592967,-30001143,-55016078,0
1,1,1,1,29,1,1324592967,-30001143,-55016078,0
1,1,1,1,29,1,1324593563,-30001143,-55016076,0
1,1,1,1,29,1,1324602511,-30001141,-55016078,0
1,4,1,1,29,1,1324602511,-30001143,-55016078,0
1,1,1,1,29,1,1324611459,-30001141,-55016076,0
1,2,1,1,29,1,1324621600,-30001141,-55016076,0
1,1,1,1,29,1,1324621600,-30001141,-55016078,0
1,4,1,1,29,1,1324631144,-30001143,-55016078,0
1,1,1,1,29,1,1324640689,-30001143,-55016076,0
1,2,1,1,29,1,1324640689,-30001143,-55016078,0
1,1,1,1,29,1,1324650233,-30001141,-55016076,0
1,4,1,1,29,1,1324659778,-30001141,-55016078,0
1,3,1,1,29,1,1324669322,-30001143,-55016076,0
1,2,1,1,29,1,1324678866,-30001143,-55016078,0
1,4,1,1,29,1,1324688411,-30001141,-55016076,0
1,4,1,1,29,1,1324697955,-30001141,-55016078,0
1,3,1,1,29,1,1324707499,-30001143,-55016078,0
1,4,1,1,29,1,1324717044,-30001141,-55016078,0
1,1,1,1,29,1,1324726588,-30001143,-55016078,0
1,1,1,1,29,1,1324736133,-30001143,-55016078,0
1,1,1,1,29,1,1324745677,-30001141,-55016076,0
1,1,1,1,29,1,1324746273,-30001141,-55016076,0
1,2,1,1,29,1,1324755221,-30001141,-55016076,0
1,2,1,1,29,1,1324764766,-30001143,-55016078,0
1,3,1,1,29,1,1324765362,-30001143,-55016076,0
1,1,1,1,29,1,1324774310,-30001141,-55016078,0
1,1,1,1,29,1,1324783854,-30001143,-55016078,0
1,1,1,1,29,1,1324793399,-30001143,-55016078,0
1,3,1,1,29,1,1324803540,-30001141,-55016078,0
1,1,1,1,29,1,1324813084,-30001143,-55016078,0
