Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,3,1,1,29,1,1462942215,-30001143,-55016076,0
1,2,1,1,29,1,1462946390,-30001143,-55016076,0
1,4,1,1,29,1,1462951163,-30001141,-55016076,0
1,4,1,1,29,1,1462955935,-30001143,-55016078,0
1,2,1,1,29,1,1462957724,-30001143,-55016078,0
1,1,1,1,29,1,1462957724,-30001143,-55016078,0
1,1,1,1,29,1,1462960707,-30001143,-55016076,0
1,4,1,1,29,1,1462960707,-30001143,-55016078,0
1,2,1,1,29,1,1462969655,-30001143,-55016078,0
1,1,1,1,29,1,1462970251,-30001141,-55016076,0
1,4,1,1,29,1,1462979796,-30001143,-55016078,0
1,1,1,1,29,1,1462979796,-30001143,-55016078,0
1,2,1,1,29,1,1462988744,-30001141,-55016076,0
1,1,1,1,29,1,1462998288,-30001141,-55016076,0
1,4,1,1,29,1,1463008429,-30001141,-55016076,0
1,1,1,1,29,1,1463017973,-30001141,-55016076,0
1,4,1,1,29,1,1463027518,-30001141,-55016078,0
1,4,1,1,29,1,1463037062,-30001141,-55016078,0
1,4,1,1,29,1,1463037062,-30001143,-55016078,0
1,3,1,1,29,1,1463046606,-30001141,-55016078,0
1,4,1,1,29,1,1463056151,-30001143,-55016078,0
1,4,1,1,29,1,1463066292,-30001143,-55016078,0
1,2,1,1,29,1,1463066292,-30001143,-55016078,0
1,1,1,1,29,1,1463075239,-30001141,-55016078,0
1,2,1,1,29,1,1463084784,-30001141,-55016078,0
1,3,1,1,29,1,1463094328,-30001143,-55016078,0
1,3,1,1,29,1,1463104469,-30001143,-55016076,0
1,2,1,1,29,1,1463114014,-30001141,-55016078,0
1,1,1,1,29,1,1463123558,-30001141,-55016078,0
1,2,1,1,29,1,1463133102,-30001141,-55016076,0
1,4,1,1,29,1,1463133102,-30001143,-55016076,0
1,2,1,1,29,1,1463142647,-30001141,-55016078,0
1,1,1,1,29,1,1463142647,-30001141,-55016076,0
1,3,1,1,29,1,1463152191,-30001141,-55016078,0
1,3,1,1,29,1,1463161735,-30001143,-55016078,0
1,3,1,1,29,1,1463171280,-30001141,-55016078,0
1,1,1,1,29,1,1463171280,-30001141,-55016078,0
