Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,4,1,1,29,1,348392833,-30001141,-55016076,0
1,1,1,1,29,1,348394026,-30001143,-55016076,0
1,3,1,1,29,1,348396412,-30001141,-55016078,0
1,4,1,1,29,1,348405957,-30001141,-55016076,0
1,3,1,1,29,1,348408343,-30001143,-55016078,0
1,4,1,1,29,1,348409536,-30001143,-55016076,0
1,3,1,1,29,1,348409536,-30001143,-55016076,0
1,2,1,1,29,1,348415501,-30001143,-55016078,0
1,4,1,1,29,1,348425046,-30001141,-55016078,0
1,4,1,1,29,1,348436380,-30001143,-55016076,0
1,2,1,1,29,1,348444731,-30001143,-55016078,0
1,3,1,1,29,1,348453082,-30001141,-55016076,0
1,4,1,1,29,1,348462627,-30001141,-55016078,0
1,3,1,1,29,1,348472767,-30001141,-55016078,0
1,3,1,1,29,1,348472767,-30001143,-55016078,0
1,1,1,1,29,1,348482312,-30001141,-55016078,0
1,3,1,1,29,1,348482312,-30001141,-55016076,0
1,3,1,1,29,1,348491856,-30001143,-55016076,0
1,4,1,1,29,1,348501401,-30001143,-55016078,0
1,4,1,1,29,1,348510945,-30001141,-55016076,0
1,2,1,1,29,1,348520489,-30001141,-55016076,0
1,3,1,1,29,1,348520489,-30001143,-55016076,0
1,4,1,1,29,1,348530034,-30001141,-55016078,0
1,2,1,1,29,1,348530630,-30001143,-55016078,0
1,4,1,1,29,1,348539578,-30001143,-55016076,0
1,3,1,1,29,1,348549122,-30001143,-55016078,0
1,1,1,1,29,1,348558667,-30001143,-55016078,0
1,3,1,1,29,1,348568211,-30001143,-55016078,0
1,1,1,1,29,1,348577756,-30001141,-55016078,0
1,3,1,1,29,1,348578352,-30001143,-55016078,0
1,3,1,1,29,1,348587896,-30001143,-55016076,0
1,2,1,1,29,1,348587896,-30001143,-55016076,0
1,1,1,1,29,1,348597441,-30001143,-55016078,0
1,3,1,1,29,1,348597441,-30001143,-55016076,0
1,3,1,1,29,1,348606985,-30001143,-55016076,0
1,4,1,1,29,1,348606985,-30001141,-55016078,0
1,4,1,1,29,1,348616530,-30001143,-55016076,0
1,3,1,1,29,1,348617126,-30001141,-55016076,0
1,4,1,1,29,1,348626074,-30001143,-55016078,0
1,3,1,1,29,1,348636215,-30001143,-55016076,0
1,4,1,1,29,1,348636215,-30001141,-55016078,0
1,4,1,1,29,1,348645163,-30001143,-55016078,0
1,1,1,1,29,1,348655304,-30001143,-55016078,0
1,1,1,1,29,1,348664251,-30001141,-55016076,0
1,3,1,1,29,1,348673796,-30001141,-55016078,0
1,1,1,1,29,1,348683340,-30001141,-55016076,0
1,3,1,1,29,1,348692884,-30001141,-55016076,0
1,2,1,1,29,1,348702429,-30001141,-55016076,0
1,4,1,1,29,1,348711973,-30001143,-55016078,0
1,2,1,1,29,1,348721518,-30001143,-55016076,0
1,2,1,1,29,1,348731062,-30001141,-55016078,0
1,3,1,1,29,1,348731659,-30001141,-55016076,0
1,3,1,1,29,1,348740606,-30001141,-55016076,0
1,3,1,1,29,1,348750151,-30001143,-55016078,0
1,3,1,1,29,1,348759695,-30001143,-55016078,0
1,1,1,1,29,1,348769239,-30001141,-55016076,0
1,1,1,1,29,1,348778784,-30001143,-55016076,0
1,2,1,1,29,1,348788328,-30001141,-55016076,0
1,3,1,1,29,1,348797873,-30001143,-55016076,0
1,3,1,1,29,1,348808013,-30001141,-55016076,0
1,1,1,1,29,1,348808013,-30001141,-55016076,0
1,4,1,1,29,1,348817558,-30001143,-55016078,0
1,2,1,1,29,1,348827102,-30001143,-55016078,0
1,3,1,1,29,1,348836647,-30001141,-55016078,0
1,2,1,1,29,1,348836647,-30001143,-55016076,0
1,1,1,1,29,1,348837243,-30001143,-55016076,0
1,2,1,1,29,1,348846191,-30001143,-55016078,0
1,1,1,1,29,1,348846191,-30001143,-55016078,0
1,4,1,1,29,1,348855735,-30001143,-55016078,0
1,2,1,1,29,1,348855735,-30001141,-55016076,0
1,4,1,1,29,1,348865280,-30001141,-55016076,0
1,3,1,1,29,1,348865280,-30001141,-55016076,0
1,1,1,1,29,1,348874824,-30001143,-55016078,0
1,1,1,1,29,1,348884965,-30001141,-55016076,0
1,1,1,1,29,1,348884965,-30001143,-55016078,0
1,1,1,1,29,1,348893913,-30001141,-55016078,0
1,1,1,1,29,1,348904054,-30001143,-55016076,0
1,1,1,1,29,1,348913598,-30001143,-55016076,0
1,4,1,1,29,1,348923142,-30001141,-55016076,0
1,2,1,1,29,1,348932687,-30001143,-55016076,0
1,1,1,1,29,1,348942828,-30001143,-55016076,0
1,4,1,1,29,1,348942828,-30001143,-55016076,0
1,1,1,1,29,1,348952372,-30001141,-55016078,0
1,2,1,1,29,1,348952372,-30001141,-55016076,0
1,3,1,1,29,1,348961916,-30001143,-55016076,0
1,3,1,1,29,1,348971461,-30001141,-55016078,0
1,4,1,1,29,1,348981005,-30001143,-55016076,0
1,1,1,1,29,1,348990550,-30001143,-55016076,0
1,2,1,1,29,1,349000094,-30001143,-55016076,0
1,4,1,1,29,1,349009638,-30001143,-55016078,0
1,1,1,1,29,1,349019183,-30001141,-55016076,0
1,2,1,1,29,1,349028727,-30001141,-55016078,0
1,2,1,1,29,1,349028727,-30001141,-55016076,0
1,1,1,1,29,1,349038271,-30001143,-55016078,0
1,2,1,1,29,1,349047816,-30001143,-55016076,0
1,1,1,1,29,1,349057360,-30001143,-55016078,0
1,2,1,1,29,1,349066905,-30001141,-55016078,0
1,4,1,1,29,1,349068098,-30001143,-55016076,0
1,1,1,1,29,1,349077045,-30001141,-55016078,0
1,1,1,1,29,1,349077045,-30001143,-55016078,0
1,3,1,1,29,1,349085993,-30001141,-55016076,0
1,2,1,1,29,1,349095538,-30001141,-55016076,0
1,3,1,1,29,1,349105679,-30001143,-55016076,0
1,3,1,1,29,1,349115223,-30001141,-55016078,0
1,2,1,1,29,1,349124767,-30001141,-55016076,0
1,1,1,1,29,1,349134312,-30001141,-55016076,0
1,3,1,1,29,1,349143856,-30001143,-55016078,0
1,4,1,1,29,1,349153400,-30001143,-55016076,0
1,2,1,1,29,1,349163541,-30001141,-55016078,0
1,4,1,1,29,1,349163541,-30001143,-55016076,0
1,2,1,1,29,1,349173086,-30001143,-55016076,0
1,4,1,1,29,1,349173086,-30001143,-55016078,0
1,1,1,1,29,1,349182630,-30001141,-55016076,0
1,3,1,1,29,1,349182630,-30001143,-55016078,0
1,2,1,1,29,1,349192174,-30001143,-55016078,0
1,4,1,1,29,1,349201719,-30001141,-55016076,0
1,1,1,1,29,1,349211860,-30001141,-55016078,0
1,3,1,1,29,1,349221404,-30001143,-55016078,0
1,2,1,1,29,1,349230948,-30001143,-55016078,0
1,2,1,1,29,1,349241089,-30001143,-55016078,0
1,1,1,1,29,1,349241089,-30001141,-55016076,0
1,2,1,1,29,1,349250037,-30001141,-55016076,0
