Msg_Received,Received_Time,Decoding_Time
1,101.867427,1.2436
2,102.212042,0.2737
3,102.40455,0.1204
4,103.283788,0.1028
5,104.722651,0.1710
6,105.968505,0.0851
7,107.667479,0.0997
8,109.354552,0.1224
9,110.814916,0.2648
10,112.189075,0.1500
11,113.266022,0.0728
12,113.352226,0.0544
13,114.902193,0.0788
14,116.297654,0.0788
15,117.799619,0.0707
16,118.821464,0.0725
17,120.193923,0.0664
18,121.521681,0.0725
19,123.11635,0.1570
20,124.542612,0.0594
21,125.733764,0.0431
22,126.969618,0.0426
23,128.368979,0.0443
24,128.430981,0.0323
25,129.844043,0.0550
26,131.187401,0.0492
27,132.528859,0.0998
28,134.185431,0.0497
29,135.245677,0.0437
30,136.583136,0.0496
31,137.720285,0.0521
32,138.936638,0.0386
33,140.200893,0.0400
34,141.531551,0.0389
35,142.798306,0.0357
36,144.126263,0.0316
37,144.174066,0.0292
38,145.357417,0.0412
39,146.702175,0.0639
40,148.125237,0.0543
41,148.18434,0.0285
42,149.254686,0.0415
43,150.543242,0.0992
44,151.678492,0.0387
45,151.742394,0.0262
46,152.995849,0.0368
47,154.316106,0.0337
48,155.628363,0.0307
49,156.839916,0.0451
50,158.190375,0.0261
51,158.235277,0.0271
52,160.128959,0.0304
53,161.552721,0.0562
54,162.91618,0.0531
55,164.156434,0.0470
56,165.433989,0.0327
57,166.755347,0.0412
58,166.81665,0.0269
59,168.103205,0.0356
60,169.273256,0.0330
61,170.443107,0.0309
62,171.770265,0.0344
63,173.175326,0.0741
64,174.638889,0.0340
65,175.932546,0.0331
66,177.244403,0.0337
67,178.914275,0.0481
68,179.997422,0.0453
69,181.353981,0.0495
70,182.652538,0.0675
71,183.986396,0.0323
72,185.325154,0.0802
73,186.572408,0.0365
74,187.901566,0.0323
75,189.521636,0.0319
76,190.887096,0.0657
77,192.851881,0.0564
78,192.913584,0.0267
79,193.578613,0.0321
80,194.976973,0.0631
81,196.51134,0.0579
82,197.729293,0.0519
83,198.981847,0.0406
84,200.441511,0.0480
85,201.869073,0.0501
86,203.354737,0.0954
87,204.712296,0.0537
88,206.015453,0.0479
89,207.368012,0.0426
90,207.429615,0.0305
91,208.754472,0.0727
92,210.059629,0.0495
93,210.115931,0.0257
94,211.516792,0.0722
95,212.728245,0.0502
96,214.075203,0.0495
97,215.220853,0.0452
98,216.405005,0.0421
99,217.755163,0.0449
100,219.010318,0.0442
101,220.342076,0.0472
102,221.500726,0.0396
103,222.780182,0.0401
104,224.151541,0.0428
105,224.201543,0.0245
106,225.689808,0.0508
107,227.176473,0.0376
108,228.472029,0.0417
109,229.65498,0.0456
110,230.920235,0.0424
111,232.346197,0.0454
112,233.724357,0.0484
113,235.242923,0.0492
114,236.235266,0.0378
115,237.485221,0.0400
116,238.794678,0.0464
117,240.141536,0.0506
118,241.394091,0.0514
119,242.660546,0.0563
120,243.822396,0.0389
121,245.030949,0.0368
122,246.314204,0.0488
123,247.724966,0.0508
124,249.024622,0.0424
125,250.11777,0.0388
126,251.365224,0.0390
127,251.421426,0.0291
128,252.668281,0.0670
129,253.960437,0.0465
130,255.530505,0.0736
131,256.526448,0.0496
132,257.645997,0.0535
133,258.982055,0.0549
134,259.039357,0.0252
135,260.24491,0.0458
136,261.512565,0.0464
137,263.383346,0.0474
138,264.334788,0.0414
139,265.632244,0.0464
140,266.784394,0.0573
141,268.013448,0.0459
142,269.129196,0.0428
143,270.731966,0.1063
144,271.826013,0.0533
145,272.984364,0.0511
146,274.176715,0.0485
147,275.355767,0.0545
148,276.505917,0.0486
149,277.781372,0.0675
150,279.183733,0.0450
151,280.224078,0.0355
152,281.547136,0.0346
153,282.833092,0.0340
154,284.107147,0.0436
155,285.3239,0.0543
156,286.623956,0.0356
157,287.945214,0.0356
158,289.146466,0.0385
159,290.486024,0.0406
160,291.695477,0.0312
161,293.273945,0.0498
162,294.398094,0.0270
163,295.984963,0.0276
164,297.365423,0.0304
165,298.489372,0.0327
166,299.916934,0.0337
167,301.225891,0.0429
168,302.57795,0.0405
169,303.723499,0.0380
170,305.149661,0.0589
171,305.296768,0.1153
172,307.088846,0.0464
173,308.027987,0.0348
174,308.072388,0.0232
175,309.643557,0.0321
176,310.954314,0.0324
177,312.164166,0.0431
178,313.544826,0.0386
179,314.77248,0.0347
180,315.990533,0.0354
181,317.379993,0.0284
182,317.424995,0.0249
183,318.731552,0.0310
184,319.944204,0.0334
185,321.205759,0.0444
186,321.257961,0.0239
187,322.526217,0.0449
188,323.655366,0.0569
189,325.002624,0.0446
190,325.051726,0.0230
191,326.375284,0.0680
192,327.682441,0.0434
193,328.768788,0.0440
194,329.906737,0.0353
195,331.222995,0.0387
196,332.534152,0.0483
197,332.585854,0.0239
198,333.756505,0.0390
199,335.044061,0.0282
200,336.18391,0.0423
201,337.460266,0.0424
202,338.780923,0.0344
203,339.953774,0.0322
204,341.46764,0.0492
205,342.635791,0.0496
206,343.908546,0.0610
207,345.098698,0.0481
208,346.480958,0.0446
209,346.53106,0.0230
210,347.845617,0.0432
211,349.193476,0.0450
212,350.339325,0.0362
213,351.785988,0.0419
214,353.009541,0.0325
215,353.051943,0.0223
216,354.537008,0.0311
217,355.73836,0.0311
218,357.12242,0.0246
219,358.50708,0.0294
220,359.815237,0.0313
221,361.194397,0.0325
222,362.40415,0.0324
223,362.450852,0.0227
224,363.662104,0.0327
225,365.147969,0.0328
226,366.409824,0.0330
227,367.69578,0.0359
228,369.070739,0.0337
229,369.118241,0.0252
230,370.310293,0.0322
231,371.522846,0.0320
232,372.838703,0.0324
233,372.881105,0.0223
234,374.15796,0.0314
235,375.415415,0.0315
236,376.665469,0.0373
237,378.007328,0.0372
238,379.270583,0.0323
239,380.609141,0.0314
240,381.857795,0.0337
241,383.331159,0.0360
242,384.484609,0.0329
243,385.737664,0.0315
244,386.992218,0.0309
245,388.40988,0.0315
246,389.772139,0.0312
247,389.816741,0.0230
248,391.371009,0.0857
249,392.872274,0.0811
250,394.001123,0.0330
251,395.243677,0.0265
252,396.674239,0.0333
253,397.884292,0.0413
254,399.307353,0.0367
255,400.870521,0.0352
256,402.371887,0.1209
257,403.873052,0.0362
258,404.806792,0.0295
259,406.043346,0.0318
260,407.184596,0.0313
261,408.603357,0.0311
262,408.645359,0.0211
263,409.840011,0.0299
264,411.121867,0.0251
265,412.295118,0.0307
266,413.527771,0.0361
267,414.933033,0.0422
268,416.25069,0.0418
269,416.298392,0.0218
270,417.483643,0.0307
271,418.768699,0.0332
272,420.045655,0.0311
273,421.193805,0.0315
274,422.425858,0.0307
275,423.657212,0.0308
276,423.702914,0.0249
277,425.085974,0.0302
278,426.288026,0.0307
279,427.648185,0.0305
280,429.026145,0.0367
281,430.168595,0.0320
282,430.208996,0.0185
283,431.66586,0.0306
284,432.988117,0.0311
285,434.162568,0.0310
286,435.413423,0.0306
287,436.660077,0.0381
288,438.001335,0.0309
289,439.302992,0.0309
290,440.677151,0.0307
291,440.718553,0.0212
292,441.926206,0.0300
293,443.262864,0.0307
294,444.650224,0.0349
295,445.919279,0.0367
296,447.182034,0.0341
297,447.226836,0.0219
298,448.390687,0.0303
299,449.647641,0.0302
300,450.953398,0.0263
301,450.9978,0.0185
302,452.320657,0.0306
303,453.452007,0.0333
304,454.877469,0.0317
305,456.085621,0.0314
306,457.500183,0.0320
307,458.82484,0.0308
308,460.058194,0.0335
309,461.451454,0.0309
310,462.635606,0.0314
311,463.869059,0.0300
312,465.303522,0.0303
313,466.631379,0.0295
314,467.780829,0.0306
315,469.054485,0.0305
316,470.388943,0.0306
317,471.682199,0.0310
318,471.727101,0.0235
319,473.09986,0.0295
320,474.385116,0.0304
321,475.61077,0.0419
322,476.99613,0.0354
323,478.277885,0.0317
324,479.607243,0.0310
325,481.002404,0.0308
326,482.450267,0.0312
327,483.67392,0.0314
328,485.033879,0.0254
329,485.946419,0.0255
330,487.255876,0.0301
331,488.489629,0.0304
332,488.532031,0.0222
333,489.730783,0.0312
334,491.02784,0.0326
335,492.391599,0.0318
336,493.704956,0.0306
337,494.94091,0.0299
338,496.301869,0.0307
339,497.48882,0.0299
340,498.713574,0.0302
341,499.892525,0.0309
342,501.052675,0.0311
343,502.260128,0.0302
344,503.648388,0.0303
345,504.791838,0.0296
346,505.98249,0.0297
347,507.499555,0.0298
348,508.824113,0.0319
349,510.046966,0.0304
350,511.437227,0.0341
351,512.742483,0.0315
352,514.05644,0.0870
353,515.380198,0.0421
354,516.712856,0.0325
355,517.837405,0.0304
356,519.11106,0.0306
357,520.513821,0.0302
358,522.09839,0.0299
359,523.903768,0.0457
360,523.962271,0.0238
361,525.411934,0.0454
362,527.068806,0.0423
363,528.594672,0.0343
364,529.901929,0.0320
365,531.284889,0.0257
366,532.792555,0.0323
367,533.963106,0.0309
368,535.278963,0.0309
369,536.530617,0.0307
370,537.775171,0.0298
371,538.969223,0.0305
372,540.28398,0.0320
373,541.578837,0.0302
374,542.834091,0.0301
375,544.212151,0.0304
376,545.546109,0.0374
377,546.746761,0.0318
378,547.978715,0.0301
379,549.238869,0.0585
380,550.467623,0.0303
381,551.752079,0.0299
382,553.037134,0.0300
383,554.274088,0.0298
384,555.599746,0.0264
385,556.893002,0.0314
386,558.282862,0.0319
387,559.501815,0.0316
388,560.796172,0.0387
389,562.089528,0.0335
390,563.257279,0.0305
391,564.630038,0.0304
392,565.770588,0.0302
393,567.050444,0.0297
394,568.197593,0.0322
395,569.49815,0.0304
