Msg_Received,Received_Time,Decoding_Time
1,2366.7084,7.4768
2,2366.8914,0.0793
3,2367.0053,0.0846
4,2367.0624,0.0311
5,2367.1707,0.0886
6,2370.0078,0.0221
7,2386.8836,0.1691
8,2403.7279,0.1325
9,2404.7536,0.3269
10,2419.6352,0.0599
11,2435.365,0.0420
12,2435.4247,0.0192
13,2451.4895,0.0348
14,2467.5474,0.0742
15,2483.5782,0.0505
16,2499.8563,0.0670
17,2516.1707,0.0717
18,2531.902,0.0680
19,2547.7671,0.0694
20,2564.3613,0.0682
21,2564.4543,0.0371
22,2580.9069,0.0674
23,2597.1332,0.1686
24,2612.6384,0.0511
25,2628.796,0.0933
26,2647.102,0.0769
27,2650.925,0.0712
28,2660.2151,0.0393
29,2660.2889,0.0157
30,2676.9815,0.0635
31,2692.7669,0.2045
32,2708.2982,0.0559
33,2708.661,0.0424
34,2725.168,0.0588
35,2741.296,0.0581
36,2741.3936,0.0248
37,2757.1304,0.0570
38,2757.2261,0.0250
39,2773.3067,0.0568
40,2774.8197,0.0653
41,2789.0537,0.1668
42,2805.1946,0.0520
43,2821.4055,0.1606
44,2837.4548,0.2084
45,2837.5871,0.0219
46,2853.116,0.0288
47,2853.1616,0.0052
48,2869.1376,0.0219
49,2885.9397,0.0238
50,2901.3459,0.0263
51,2918.2367,0.0268
52,2918.2966,0.0256
53,2934.0613,0.0454
54,2934.1342,0.0113
55,2950.3063,0.0444
56,2966.5484,0.0400
57,2982.6783,0.0370
58,2999.1274,0.0314
59,2999.1804,0.0101
60,3014.6725,0.0258
61,3030.7726,0.0278
62,3046.9453,0.0282
63,3062.6098,0.0215
64,3078.7357,0.0173
65,3095.0018,0.0860
66,3111.59,0.0214
67,3127.3482,0.0296
68,3143.7535,0.0346
69,3160.2502,0.0385
70,3160.318,0.0137
71,3176.2877,0.0372
72,3176.354,0.0136
73,3192.0021,0.0371
74,3192.0678,0.0131
75,3208.0422,0.0223
76,3208.0735,0.0054
77,3224.596,0.0220
78,3224.6289,0.0060
79,3240.6393,0.0229
80,3256.6261,0.0320
81,3273.3176,0.0390
82,3273.4114,0.0155
83,3289.4406,0.0584
84,3305.2791,0.0393
85,3321.2707,0.0415
86,3321.3544,0.0231
87,3336.9542,0.0418
88,3337.054,0.0167
89,3353.2825,0.0436
90,3353.3777,0.0240
91,3368.9804,0.0341
92,3385.5822,0.0220
93,3385.6255,0.0065
94,3401.3966,0.0333
95,3417.8252,0.0297
96,3433.7723,0.0423
97,3450.2507,0.0404
98,3450.3935,0.0803
99,3466.925,0.0424
100,3467.0075,0.0165
101,3482.9164,0.0412
102,3498.3429,0.0419
103,3514.5663,0.0405
104,3530.8928,0.0421
105,3546.7513,0.0408
106,3563.2309,0.0410
107,3563.303,0.0152
108,3578.9755,0.0213
109,3579.1792,0.0095
110,3595.3101,0.0229
111,3611.8323,0.0241
112,3611.9822,0.0075
113,3627.7416,0.0142
114,3627.7667,0.0052
115,3643.5894,0.0116
116,3660.3698,0.0476
117,3677.128,0.0638
118,3693.0715,0.0636
119,3709.4392,0.0219
120,3709.4724,0.0059
121,3725.5067,0.0225
122,3725.5612,0.0070
123,3741.6515,0.0277
