Msg_Received,Received_Time,Decoding_Time
1,2032.4937,10.8955
2,2032.61,0.0475
3,2032.7138,0.0799
4,2032.7782,0.0409
5,2032.877,0.0780
6,2048.206,0.1153
7,2062.7914,0.0464
8,2062.8485,0.0163
9,2079.3028,0.1399
10,2079.4398,0.0240
11,2095.3628,0.0358
12,2095.4138,0.0152
13,2110.7477,0.0331
14,2110.7866,0.0138
15,2126.6081,0.0348
16,2142.4908,0.0345
17,2158.0363,0.0344
18,2173.9984,0.0219
19,2189.8656,0.0383
20,2205.3093,0.0425
21,2221.542,0.0334
22,2236.725,0.0358
23,2252.5914,0.0420
24,2268.395,0.0498
25,2285.2886,0.1754
26,2301.1992,0.4628
27,2317.9993,0.0817
28,2333.7517,0.0851
29,2349.6854,0.0849
30,2366.4365,0.0988
31,2382.6013,0.2220
32,2398.6943,0.0762
33,2414.0355,0.0759
34,2414.1624,0.0323
35,2430.5699,0.0726
36,2430.6936,0.0310
37,2446.5269,0.0714
38,2446.6482,0.0306
39,2463.2149,0.0761
40,2464.341,0.0675
41,2478.5919,0.2406
42,2494.5664,0.0698
43,2494.9768,0.1445
44,2510.9971,0.2247
45,2526.7888,0.0623
46,2543.4103,0.0630
47,2543.5292,0.0250
48,2559.5822,0.0639
49,2559.7118,0.0260
50,2575.3896,0.0640
51,2591.0876,0.0641
52,2607.3404,0.0655
53,2623.2557,0.0635
54,2639.5095,0.0243
55,2655.38,0.0199
56,2672.6333,0.1090
57,2672.7566,0.0248
58,2687.889,0.0596
59,2703.5665,0.0222
60,2703.7094,0.0095
61,2720.0257,0.0223
62,2736.6264,0.0227
63,2752.2426,0.0260
64,2768.9557,0.0313
65,2784.9666,0.0444
66,2801.0294,0.0602
67,2801.1469,0.0234
68,2817.4503,0.0601
69,2833.608,0.0224
70,2833.7916,0.0123
71,2849.1115,0.0256
72,2865.7978,0.0334
73,2881.784,0.0355
74,2898.19,0.0417
75,2914.1466,0.0597
76,2930.1202,0.0606
77,2946.1759,0.0815
78,2962.6204,0.0788
79,2962.7383,0.0240
80,2978.5458,0.0600
81,2978.6767,0.0439
82,2994.7362,0.0799
83,3010.7819,0.0598
84,3027.0432,0.0818
85,3043.3154,0.0621
86,3059.6576,0.0623
87,3059.8036,0.0262
88,3075.6328,0.0824
89,3075.7556,0.0239
90,3091.3132,0.1100
91,3107.3979,0.0610
92,3123.308,0.0828
93,3139.1987,0.0272
94,3158.5328,0.0246
95,3171.1106,0.0283
96,3187.3139,0.0559
97,3187.3765,0.0121
98,3203.5444,0.0376
99,3219.551,0.0473
100,3219.6409,0.0182
101,3234.7894,0.0251
102,3234.9432,0.0144
103,3251.0238,0.0169
104,3267.8021,0.0261
105,3283.1754,0.0271
106,3299.635,0.0341
107,3316.1679,0.0567
108,3332.4104,0.0603
109,3348.5423,0.0605
110,3348.6549,0.0237
111,3364.6696,0.0594
112,3380.7537,0.0665
113,3397.1437,0.0649
114,3412.9666,0.0634
115,3429.5193,0.0639
116,3429.7267,0.0318
117,3446.0458,0.1112
118,3446.1785,0.0267
119,3461.262,0.0653
120,3477.2307,0.0637
121,3493.3233,0.0657
122,3493.4454,0.0249
123,3509.2974,0.1091
124,3509.415,0.0238
125,3525.1597,0.0637
126,3525.2756,0.0237
127,3541.0961,0.0962
128,3557.2188,0.1997
129,3573.5454,0.0208
130,3589.2049,0.0232
131,3589.2395,0.0058
132,3604.8406,0.0227
133,3604.9945,0.0489
134,3621.1533,0.0173
135,3637.0037,0.0212
136,3652.4933,0.0502
137,3669.3135,0.0313
138,3669.3958,0.0115
139,3685.4035,0.0407
140,3701.5812,0.0448
141,3717.7395,0.0586
142,3734.5435,0.0595
143,3734.6589,0.0245
144,3751.1034,0.0546
145,3766.5735,0.0548
146,3766.6845,0.0221
147,3783.1945,0.0563
148,3799.0842,0.0545
149,3815.4184,0.0561
150,3816.3864,0.0386
151,3831.8943,0.0573
152,3847.1599,0.0533
153,3847.2916,0.0219
154,3863.7918,0.0575
155,3879.8042,0.0569
156,3896.1091,0.0548
157,3912.4285,0.1079
158,3927.6171,0.0558
159,3944.5499,0.0785
160,3944.6686,0.0216
161,3960.7231,0.0534
162,3960.854,0.0228
163,3976.4726,0.0766
164,3976.5945,0.0224
165,3992.2783,0.0590
166,4008.3493,0.0562
167,4024.1345,0.0707
168,4024.2527,0.0291
169,4040.3481,0.0207
170,4057.1099,0.0252
171,4073.0577,0.0817
172,4088.9718,0.0201
173,4104.7615,0.0312
174,4121.0936,0.0247
175,4137.456,0.0204
176,4137.4963,0.0050
177,4153.5373,0.0275
178,4153.5714,0.0053
179,4169.2721,0.0218
180,4169.3104,0.0059
181,4185.5794,0.0184
182,4201.3964,0.0191
183,4201.4281,0.0042
184,4218.1282,0.0201
185,4233.6133,0.0226
186,4250.4145,0.0229
187,4250.4571,0.0061
188,4265.6791,0.0264
189,4282.4412,0.0344
190,4282.5064,0.0112
191,4298.6998,0.0483
192,4298.8019,0.0185
193,4314.7586,0.0485
194,4331.5992,0.0489
195,4331.7014,0.0176
196,4348.0722,0.0503
197,4363.4964,0.0508
198,4363.6031,0.0194
199,4379.6175,0.0503
200,4396.2781,0.0583
201,4397.0818,0.1994
202,4397.1981,0.0218
203,4412.1936,0.0503
204,4428.5258,0.0486
205,4428.6314,0.0191
206,4444.1966,0.0512
207,4459.5952,0.0490
208,4459.6996,0.0182
209,4474.6961,0.0526
210,4490.7747,0.0541
211,4507.571,0.0489
212,4507.7297,0.0197
213,4524.0786,0.0535
214,4539.9547,0.0543
215,4555.9007,0.0520
216,4571.9062,0.1343
217,4588.2707,0.0514
218,4604.8845,0.0546
219,4604.9952,0.0206
220,4620.7424,0.0500
221,4636.873,0.0463
222,4653.2409,0.0487
223,4669.8379,0.0471
224,4685.3018,0.0479
225,4685.4018,0.0166
226,4702.307,0.0528
227,4718.2702,0.0581
228,4734.379,0.1438
229,4751.1326,0.0465
230,4765.8479,0.0472
231,4782.2426,0.0457
232,4798.4967,0.0473
233,4798.6007,0.0170
234,4814.1671,0.0462
235,4830.5316,0.0456
236,4830.6348,0.0173
237,4846.2166,0.0457
238,4862.7839,0.0490
239,4862.9853,0.0211
240,4878.7205,0.0483
241,4878.8516,0.0201
242,4894.8332,0.0689
243,4911.0994,0.0490
244,4927.5201,0.0477
245,4927.7213,0.0207
246,4943.5882,0.0688
247,4943.7019,0.0187
248,4959.5599,0.0489
249,4959.6905,0.0191
250,4975.842,0.0706
251,4992.1512,0.0493
252,5008.3566,0.0481
253,5008.5291,0.0197
254,5024.7722,0.0686
255,5024.9046,0.0380
256,5041.7258,0.4337
257,5057.0517,0.0370
258,5072.979,0.0387
259,5089.1949,0.0588
260,5105.1569,0.0385
261,5121.5134,0.0368
262,5121.6275,0.0151
263,5137.7215,0.0577
264,5137.8325,0.0225
265,5153.7482,0.0373
266,5153.8675,0.0146
267,5169.5987,0.0609
268,5169.7147,0.0221
269,5185.1431,0.0167
270,5185.1993,0.0054
271,5201.1872,0.0259
272,5201.2257,0.0046
273,5217.658,0.0309
274,5233.8,0.0190
275,5250.5507,0.0214
276,5266.2463,0.0221
277,5282.8017,0.0313
278,5298.9025,0.0354
279,5314.4157,0.0351
280,5331.1513,0.0350
281,5346.8478,0.0346
282,5363.0604,0.0349
283,5363.1599,0.0138
284,5380.0262,0.0349
285,5395.6498,0.0356
286,5411.4487,0.0354
287,5427.4236,0.0348
288,5443.2858,0.0350
289,5459.9369,0.0347
290,5475.6987,0.0367
291,5491.5506,0.0354
292,5507.6294,0.0352
293,5523.7317,0.0413
294,5540.0121,0.0370
295,5556.2381,0.0394
296,5572.4209,0.0458
297,5572.5283,0.0150
298,5588.7683,0.0382
299,5588.8753,0.0158
300,5604.982,0.0373
301,5621.1542,0.0375
302,5637.525,0.0380
303,5637.6299,0.0143
304,5653.7372,0.0369
305,5669.889,0.0365
306,5685.5985,0.0378
307,5701.7583,0.0382
308,5718.1066,0.0378
309,5718.2124,0.0152
310,5734.1176,0.0373
311,5750.3183,0.0377
312,5750.4243,0.0146
313,5766.0468,0.0145
314,5766.0833,0.0041
315,5782.2632,0.0179
316,5782.3135,0.0061
317,5798.5355,0.0179
318,5798.5806,0.0057
319,5814.5388,0.0200
320,5830.6796,0.1572
321,5830.7772,0.0117
322,5847.1789,0.0300
323,5863.1318,0.0349
324,5879.0646,0.0342
325,5894.8538,0.0347
326,5911.0463,0.0340
327,5927.4939,0.0360
328,5943.3336,0.0366
329,5959.2541,0.0121
330,5975.1747,0.0125
331,5975.2082,0.0033
332,5991.4837,0.0136
333,6007.262,0.0148
334,6007.2983,0.0038
335,6023.3495,0.0150
336,6039.7385,0.0174
337,6055.6133,0.0202
338,6071.779,0.0286
339,6088.1829,0.0349
340,6104.208,0.0326
341,6104.3016,0.0119
342,6120.454,0.0348
343,6120.5573,0.0128
344,6136.4336,0.0334
345,6136.5348,0.0121
346,6153.4427,0.0326
347,6168.1148,0.0355
348,6183.7338,0.0338
349,6199.2173,0.0069
350,6215.6474,0.0137
351,6231.5541,0.0166
352,6247.604,0.0141
353,6263.6042,0.0156
354,6279.3713,0.0186
355,6279.4604,0.0067
356,6295.4976,0.0234
357,6311.6195,0.0273
358,6311.7028,0.0105
359,6327.7761,0.0330
360,6344.0529,0.0334
361,6359.8582,0.0334
362,6375.9685,0.0326
363,6391.9949,0.0349
364,6408.1871,0.0347
365,6408.3655,0.0156
366,6424.2056,0.0354
367,6424.3036,0.0132
368,6440.359,0.0367
369,6455.8342,0.0354
370,6471.5754,0.0347
371,6487.8873,0.0350
372,6504.1535,0.0370
373,6504.2611,0.0135
374,6520.4873,0.0375
375,6520.6542,0.0150
376,6536.61,0.0417
377,6536.743,0.0178
378,6552.7478,0.0378
379,6552.8642,0.0149
380,6568.8274,0.0363
381,6584.9477,0.0373
382,6601.054,0.0376
383,6617.0264,0.0367
384,6633.0446,0.0373
385,6633.1529,0.0144
386,6649.6122,0.0376
387,6665.4923,0.0378
388,6681.6699,0.0369
389,6697.3443,0.0379
390,6713.1213,0.0398
391,6728.4782,0.0373
392,6744.568,0.0389
393,6744.6823,0.0142
394,6760.6198,0.0370
395,6776.5653,0.0346
396,6776.6678,0.0135
397,6792.2551,0.0349
398,6809.0309,0.0364
399,6810.8928,0.0371
400,6825.1995,0.0379
401,6841.4361,0.0371
402,6856.7884,0.0139
403,6856.8209,0.0035
404,6873.0477,0.0138
405,6888.9085,0.0155
406,6905.6133,0.0165
407,6920.9487,0.0188
408,6920.9995,0.0059
409,6937.3349,0.0188
410,6953.9283,0.0276
411,6970.0058,0.0920
412,6970.0859,0.0091
413,6986.4009,0.0283
414,6986.4953,0.0106
415,7002.9278,0.0334
416,7018.0387,0.0321
417,7018.144,0.0130
418,7034.6901,0.0333
419,7050.6196,0.0336
420,7066.9168,0.0365
421,7083.0662,0.0347
422,7098.6345,0.0124
423,7114.7143,0.0130
424,7114.8554,0.0066
425,7130.9617,0.0283
426,7130.9958,0.0034
427,7147.3127,0.0131
428,7163.4148,0.0138
429,7179.1087,0.0467
430,7195.46,0.0181
431,7211.8795,0.0238
432,7227.9933,0.0249
433,7244.1638,0.0312
434,7260.662,0.0311
435,7276.6919,0.0325
436,7276.8028,0.0132
437,7292.6677,0.0309
438,7308.66,0.0438
439,7308.8684,0.1210
440,7324.5944,0.0094
441,7340.8255,0.0197
442,7356.8357,0.0109
443,7356.8648,0.0025
444,7372.7923,0.0129
445,7389.2705,0.0126
446,7404.8852,0.0137
447,7404.9224,0.0038
448,7420.9162,0.0154
449,7420.9627,0.0045
450,7437.8128,0.0161
451,7454.2596,0.0168
452,7454.3099,0.0053
453,7469.8037,0.0200
454,7469.8636,0.0065
455,7486.5761,0.0229
456,7502.7066,0.0283
457,7518.6554,0.0288
458,7534.9575,0.0287
459,7550.7149,0.0315
460,7566.7091,0.0301
461,7582.7746,0.0318
462,7598.8933,0.0302
463,7615.1441,0.0303
464,7631.1591,0.0293
465,7646.6182,0.0053
466,7646.7941,0.0053
467,7662.8156,0.0108
468,7678.7918,0.0112
