Msg_Received,Received_Time,Decoding_Time
1,2081.6995,14.9714
2,2081.964,0.1251
3,2082.2415,0.2089
4,2082.3611,0.0668
5,2082.6006,0.1642
6,2097.3233,0.1779
7,2097.5475,0.0846
8,2114.1194,0.1889
9,2130.8235,0.4410
10,2131.3686,0.1084
11,2146.3219,0.1174
12,2146.5243,0.0729
13,2162.0722,0.1193
14,2178.804,0.1734
15,2194.6375,0.1179
16,2210.7986,0.1140
17,2226.455,0.1150
18,2242.5571,0.1137
19,2258.623,0.1172
20,2275.0731,0.1804
21,2290.8885,0.1931
22,2306.8969,0.1141
23,2322.7134,0.1145
24,2338.4436,0.1135
25,2354.6756,0.2707
26,2371.2291,0.5415
27,2386.6736,0.0915
28,2402.2857,0.0924
29,2402.4383,0.0435
30,2418.4966,0.0984
31,2418.7954,0.1997
32,2434.7159,0.0720
33,2450.9343,0.0759
34,2466.8903,0.0794
35,2483.3757,0.1389
36,2483.527,0.0385
37,2498.6471,0.0181
38,2502.8935,0.0154
39,2514.7419,0.0285
40,2530.7002,0.0380
41,2530.7905,0.0511
42,2547.066,0.0435
43,2547.4033,0.1075
44,2563.2924,0.1290
45,2563.4773,0.0235
46,2579.6746,0.0648
47,2595.4367,0.1213
48,2595.6448,0.0908
49,2611.3684,0.0618
50,2627.1425,0.0645
51,2643.8477,0.0672
52,2659.6545,0.0631
53,2676.3301,0.0640
54,2691.7632,0.0543
55,2707.814,0.0542
56,2707.9304,0.0255
57,2732.2478,0.0506
58,2732.3071,0.0108
59,2739.5042,0.0187
60,2739.6756,0.0088
61,2755.5346,0.0219
62,2772.161,0.0220
63,2788.5572,0.0264
64,2804.5363,0.0270
65,2820.6071,0.0295
66,2820.6574,0.0093
67,2836.7587,0.0391
68,2836.8295,0.0137
69,2852.799,0.0535
70,2852.9018,0.0221
71,2869.2213,0.0562
72,2869.3264,0.0218
73,2884.214,0.0221
74,2900.3124,0.0226
75,2900.5154,0.0105
76,2916.2596,0.0348
77,2932.9147,0.0223
78,2932.9489,0.0082
79,2948.5293,0.0236
80,2964.5599,0.0224
81,2980.1888,0.0341
82,2996.2566,0.0387
83,3012.6273,0.0457
84,3029.1748,0.0852
85,3029.2977,0.0258
86,3044.9799,0.0621
87,3060.8239,0.0221
88,3060.8591,0.0076
89,3076.8193,0.0223
90,3076.8592,0.0056
91,3093.3017,0.0240
92,3109.7741,0.0347
93,3125.7134,0.0522
94,3145.9134,0.0489
95,3158.9033,0.0639
96,3174.8781,0.0853
97,3191.1065,0.0872
98,3191.2412,0.0286
99,3207.2116,0.0638
100,3207.3358,0.0272
101,3223.1803,0.0663
102,3223.3037,0.0266
103,3239.9521,0.0627
104,3240.0744,0.0265
105,3255.9477,0.0635
106,3271.9521,0.0602
107,3272.0654,0.0236
108,3288.0085,0.0648
109,3288.1233,0.0245
110,3303.4325,0.0100
111,3303.647,0.0089
112,3319.8739,0.0241
113,3319.9091,0.0058
114,3335.3563,0.0224
115,3351.608,0.0279
116,3351.6675,0.0206
117,3367.5386,0.0251
118,3384.181,0.0296
119,3400.1189,0.0361
120,3417.4788,0.0565
121,3432.5109,0.0628
122,3448.3605,0.0618
123,3448.4851,0.0245
124,3464.3906,0.0641
125,3464.5102,0.0263
126,3479.5069,0.1123
127,3495.1355,0.0721
128,3512.2809,0.2090
129,3528.2885,0.0576
130,3528.4199,0.0254
131,3543.9635,0.0617
132,3544.0833,0.0241
133,3561.5595,0.1626
134,3576.7104,0.0594
135,3593.7179,0.0614
136,3609.5435,0.0598
137,3625.117,0.0686
138,3625.2543,0.0284
139,3641.5098,0.0646
140,3641.6442,0.0250
141,3657.4441,0.0625
142,3672.9083,0.0221
143,3672.9425,0.0056
144,3689.0769,0.0219
145,3705.5019,0.0261
146,3721.4636,0.0267
147,3721.5084,0.0082
148,3737.5843,0.0303
149,3739.1304,0.0293
150,3753.749,0.0345
151,3757.3469,0.0359
152,3769.9246,0.0449
153,3770.0148,0.0170
154,3785.9917,0.0524
155,3786.1775,0.0955
156,3802.3166,0.0575
157,3818.3961,0.0589
158,3818.5187,0.0246
159,3834.321,0.0601
160,3834.4501,0.0255
161,3850.5123,0.0607
162,3850.6621,0.0249
163,3866.2582,0.0809
164,3866.3795,0.0240
165,3882.4055,0.0632
166,3882.5565,0.0277
167,3898.2378,0.0768
168,3914.3012,0.0475
169,3930.1318,0.0358
