Msg_Received,Received_Time,Decoding_Time
1,8675.713,7.5886
2,8684.0884,0.0803
3,8700.0946,0.0714
4,8715.969,0.0595
5,8732.7318,0.4147
6,8749.0973,0.1151
7,8749.3834,0.0820
8,8765.3735,0.1158
9,8765.8162,0.3188
10,8781.5175,0.1602
11,8797.4181,0.1426
12,8813.3727,0.1011
13,8829.8694,0.1011
14,8830.0652,0.1081
15,8845.8145,0.1023
16,8862.14,0.1012
17,8862.2862,0.0564
18,8878.3702,0.1012
19,8894.5499,0.1028
20,8910.5022,0.1092
21,8926.707,0.1865
22,8942.658,0.1081
23,8959.2823,0.1091
24,8975.4243,0.1627
25,8975.805,0.2820
26,8991.7707,0.2057
27,9007.4037,0.0303
28,9023.6331,0.0312
29,9023.6915,0.0117
30,9039.5725,0.0389
31,9039.6559,0.0489
32,9055.9108,0.0343
33,9056.167,0.0252
34,9071.956,0.0414
35,9072.0217,0.0164
36,9087.7988,0.0582
37,9087.9002,0.0244
38,9104.0147,0.0669
39,9104.1277,0.0281
40,9119.9406,0.0775
41,9120.2198,0.1940
42,9136.6005,0.0610
43,9152.6744,0.1619
44,9169.4175,0.2134
45,9169.59,0.0274
46,9184.8291,0.0551
47,9201.1804,0.0582
48,9201.3002,0.0244
49,9217.0737,0.0595
50,9217.1876,0.0235
51,9233.2874,0.0597
52,9233.4007,0.0255
53,9249.2811,0.1144
54,9264.9664,0.1282
55,9265.0383,0.0160
56,9280.8413,0.0352
57,9280.8884,0.0166
58,9296.7542,0.0623
59,9296.8127,0.0205
60,9312.6242,0.0490
61,9312.6915,0.0246
62,9328.458,0.0596
63,9328.542,0.0331
64,9344.6256,0.0527
65,9360.376,0.0357
66,9360.4177,0.0133
67,9377.3743,0.0362
68,9393.4265,0.0345
69,9409.152,0.0407
70,9425.0187,0.0528
71,9441.804,0.0676
72,9441.9034,0.0388
73,9457.3908,0.0941
74,9474.3348,0.1015
75,9474.4875,0.0618
76,9489.5248,0.0333
77,9505.9399,0.0326
78,9522.5713,0.0377
79,9522.6214,0.0179
80,9538.9854,0.0416
81,9554.342,0.0443
82,9570.9666,0.0477
83,9587.1474,0.0589
84,9603.8916,0.0683
85,9605.9512,0.0674
86,9606.0476,0.0384
87,9619.2855,0.0808
88,9635.5521,0.1008
89,9635.704,0.0606
90,9651.5683,0.1047
91,9651.7345,0.0632
92,9667.5495,0.1081
93,9683.1506,0.0225
94,9683.2999,0.0155
95,9699.7239,0.0871
96,9699.8558,0.0522
97,9715.8605,0.0981
98,9716.0105,0.0577
99,9731.9692,0.0943
100,9748.4609,0.0960
101,9764.3259,0.0973
102,9780.6313,0.0987
103,9796.6455,0.0982
104,9812.4862,0.0960
105,9828.808,0.1161
106,9844.9235,0.1021
107,9845.0773,0.0611
108,9860.6448,0.1036
109,9876.4082,0.0330
110,9892.1714,0.0357
111,9908.0761,0.0445
112,9908.1339,0.0219
113,9924.1274,0.0905
114,9940.2872,0.0330
115,9956.0317,0.0336
116,9971.7248,0.0460
117,9987.8896,0.0348
118,10004.2969,0.0318
119,10020.3521,0.0348
120,10026.492,0.0386
121,10026.5424,0.0186
122,10028.6838,0.0376
123,10028.734,0.0186
124,10033.9229,0.0427
125,10035.8745,0.0487
126,10052.6073,0.0627
127,10053.0799,0.0454
128,10069.0247,0.0946
129,10069.1667,0.0559
130,10084.6524,0.0960
131,10084.8046,0.0661
132,10101.0205,0.0959
133,10101.2585,0.1509
134,10116.3265,0.0977
135,10132.2735,0.0561
136,10132.3677,0.0407
137,10148.4918,0.0316
138,10148.5412,0.0204
139,10164.151,0.0377
140,10180.67,0.0402
141,10196.9272,0.0465
142,10212.4514,0.0511
143,10212.5202,0.0260
144,10228.8939,0.0646
145,10228.9843,0.0354
146,10244.7522,0.0950
147,10244.8946,0.0558
148,10261.5594,0.1404
149,10277.3069,0.1014
150,10293.5415,0.1017
151,10309.2953,0.0995
152,10325.1937,0.1034
153,10341.4603,0.1022
154,10357.5286,0.1016
155,10374.039,0.1017
156,10374.377,0.0661
157,10389.799,0.1014
158,10389.9484,0.0595
159,10406.0358,0.1021
160,10406.2784,0.0653
161,10422.3867,0.1172
162,10438.077,0.1006
163,10454.5343,0.1007
164,10470.3075,0.1020
165,10485.8384,0.1028
166,10502.0142,0.1094
167,10519.514,0.1053
168,10519.6752,0.0636
169,10534.734,0.1008
170,10550.9042,0.1808
171,10551.0703,0.0633
172,10567.4954,0.1023
173,10588.384,0.1019
174,10599.0558,0.1014
175,10599.2127,0.0606
176,10615.2251,0.1033
177,10630.8174,0.1026
178,10647.0839,0.1128
179,10653.4674,0.1989
180,10654.0061,0.0865
181,10654.7088,0.0826
182,10655.74,0.0804
183,10663.3079,0.0998
184,10679.1626,0.1004
185,10679.3195,0.0592
186,10694.6694,0.0349
187,10694.7143,0.0157
188,10710.6884,0.0423
189,10710.7456,0.0211
190,10726.6385,0.0536
191,10726.7097,0.0264
192,10742.6224,0.1242
193,10742.7485,0.0474
194,10759.3426,0.0981
195,10775.1735,0.0996
196,10775.3199,0.0588
197,10791.459,0.1809
198,10791.6216,0.0610
199,10807.5316,0.0998
200,10823.5565,0.1083
201,10839.5686,0.1983
202,10856.3667,0.1017
203,10856.5241,0.0592
204,10871.5747,0.1492
205,10888.1353,0.1017
206,10888.2829,0.0584
207,10904.2807,0.0988
208,10920.3804,0.1008
209,10936.282,0.1008
210,10951.5804,0.0251
211,10967.6031,0.0946
212,10967.7503,0.0544
213,10983.8237,0.0931
214,11000.423,0.0938
215,11016.744,0.0933
216,11033.4299,0.0946
217,11049.2984,0.1047
218,11049.6045,0.1428
219,11065.4521,0.0322
220,11065.5019,0.0181
221,11082.2387,0.0854
222,11082.2939,0.0174
223,11097.1396,0.0379
224,11113.5546,0.0443
225,11129.551,0.0560
226,11146.0895,0.0756
227,11162.5573,0.0897
228,11178.5306,0.0899
229,11194.5893,0.0942
230,11211.1188,0.0934
231,11211.2645,0.0550
232,11227.3478,0.0929
233,11227.4895,0.0545
234,11243.4275,0.0939
235,11259.3905,0.0963
236,11276.2782,0.0962
237,11276.4224,0.0555
238,11291.3714,0.1486
239,11307.252,0.0945
240,11322.8237,0.0939
241,11338.6843,0.0959
242,11354.3526,0.1030
243,11369.7772,0.1035
244,11369.933,0.0614
245,11385.6893,0.1015
246,11400.9268,0.1020
247,11417.4415,0.1030
248,11433.0564,0.1019
249,11433.2112,0.0605
250,11448.9127,0.1015
251,11465.0212,0.1609
252,11465.1856,0.0629
253,11480.7141,0.1021
254,11496.7502,0.1021
255,11512.4716,0.1207
256,11513.1274,0.0747
257,11529.4081,0.0951
258,11545.1304,0.0953
259,11561.4043,0.1196
260,11578.3755,0.0945
261,11578.5305,0.0584
262,11594.2865,0.0949
263,11609.5517,0.0985
264,11626.0021,0.1039
265,11626.1588,0.0612
266,11641.9949,0.1038
267,11642.1701,0.0652
268,11658.2552,0.1582
269,11658.4939,0.1284
270,11674.2508,0.1059
271,11689.8881,0.0242
272,11705.9801,0.0345
273,11722.5772,0.0515
274,11722.6245,0.0162
275,11738.3374,0.0361
276,11754.5891,0.0437
277,11754.7359,0.1126
278,11770.42,0.0401
279,11786.8166,0.0445
280,11786.9056,0.0473
281,11802.7571,0.0498
282,11802.828,0.0251
283,11819.2468,0.0651
284,11835.4015,0.1270
285,11851.0647,0.0941
286,11867.7825,0.0917
287,11867.9259,0.0543
288,11883.3584,0.0944
289,11899.4215,0.0932
290,11915.1195,0.0935
291,11931.4829,0.0945
292,11931.6267,0.0546
293,11947.9637,0.0919
294,11964.0615,0.0938
295,11979.9947,0.1005
296,11996.1059,0.0945
297,12012.4675,0.0941
298,12028.3367,0.0926
299,12044.733,0.0939
300,12044.879,0.0539
301,12060.4949,0.0938
302,12077.0016,0.0933
303,12077.1478,0.0547
304,12093.1101,0.4269
305,12108.8247,0.0314
306,12109.0156,0.0198
307,12124.4057,0.0558
308,12140.9189,0.0327
309,12140.9695,0.0165
310,12156.4074,0.0338
311,12173.1455,0.0412
312,12188.4979,0.0474
313,12204.8675,0.0717
314,12205.4545,0.0577
315,12205.626,0.0384
316,12221.2241,0.0717
317,12221.3659,0.0452
318,12237.3754,0.1057
319,12253.7397,0.1871
320,12269.685,0.0630
321,12285.7059,0.0997
322,12301.8613,0.0801
323,12301.9744,0.0281
324,12318.6502,0.0631
325,12320.3536,0.0645
326,12333.8855,0.0845
327,12334.0159,0.0303
